partType,name,image,url,size
case,HYTE Y40 ATX Mid Tower Case (CS-HYTE-Y40-BW),https://cdna.pcpartpicker.com/static/forever/images/product/18e87f5d604e66bf832d63b0b8f074c4.256p.jpg,https://pcpartpicker.com/product/WpxRsY/hyte-y40-atx-mid-tower-case-cs-hyte-y40-bw,ATX
case,Antec NX410 ATX Mid Tower Case (0-761345-81041-8),https://cdna.pcpartpicker.com/static/forever/images/product/94caadb776ce5398961fdfdcce8bc760.256p.jpg,https://pcpartpicker.com/product/ZMC48d/antec-nx410-atx-mid-tower-case-0-761345-81041-8,ATX
case,NZXT H5 Flow RGB ATX Mid Tower Case (CC-H51FW-R1),https://cdna.pcpartpicker.com/static/forever/images/product/6ccc496a3d9459eb42f316140f027b64.256p.jpg,https://pcpartpicker.com/product/fcqrxr/nzxt-h5-flow-rgb-atx-mid-tower-case-cc-h51fw-r1,ATX
case,Fractal Design Define R5 ATX Mid Tower Case (FD-CA-DEF-R5-BK),https://cdna.pcpartpicker.com/static/forever/images/product/3803ebb09f64ddc954a86cb7b45a8ebd.256p.jpg,https://pcpartpicker.com/product/sjX2FT/fractal-design-case-fdcadefr5bk,ATX
case,Deepcool CG560 ATX Mid Tower Case (R-CG560-BKAAE4-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/eea45f77008e89169c8ee86a66e89654.256p.jpg,https://pcpartpicker.com/product/34LFf7/deepcool-cg560-atx-mid-tower-case-r-cg560-bkaae4-g-1,ATX
case,Phanteks Enthoo Pro ATX Full Tower Case (PH-ES614P_BK),https://cdna.pcpartpicker.com/static/forever/images/product/d33969265ecd1db099fc1da15dabbf9d.256p.jpg,https://pcpartpicker.com/product/mn3RsY/phanteks-case-phes614pbk,ATX
case,NZXT H510 ATX Mid Tower Case (CA-H510B-W1),https://cdna.pcpartpicker.com/static/forever/images/product/604fef5ac9874dffa927a3db98c1188d.256p.jpg,https://pcpartpicker.com/product/6Cyqqs/nzxt-h510-atx-mid-tower-case-ca-h510b-w1,ATX
case,NZXT H510i ATX Mid Tower Case (CA-H510i-W1),https://cdna.pcpartpicker.com/static/forever/images/product/6f63c51bf729ea9d12da08b83e11be22.256p.jpg,https://pcpartpicker.com/product/BM848d/nzxt-h510i-atx-mid-tower-case-ca-h510i-w1,ATX
case,Zalman T6 ATX Mid Tower Case (T6),https://m.media-amazon.com/images/I/41yzFlZoDHL.jpg,https://pcpartpicker.com/product/P7xRsY/zalman-t6-atx-mid-tower-case-t6,ATX
case,Deepcool CK560 ATX Mid Tower Case (R-CK560-BKAAE4-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/6a41085d835712d498664649d2d304ef.256p.jpg,https://pcpartpicker.com/product/RV8bt6/deepcool-ck560-atx-mid-tower-case-r-ck560-bkaae4-g-1,ATX
case,Montech SKY TWO ATX Mid Tower Case (SKY TWO Pristine White),https://cdna.pcpartpicker.com/static/forever/images/product/1126391674c40e82a5d1b706e8346bd1.256p.jpg,https://pcpartpicker.com/product/zNJgXL/montech-sky-two-atx-mid-tower-case-sky-two-pristine-white,ATX
case,Lian Li LANCOOL III ATX Mid Tower Case (LANCOOL 3-X),https://cdna.pcpartpicker.com/static/forever/images/product/7b98ae6a0b5b166d022c0c3fc3eb8197.256p.jpg,https://pcpartpicker.com/product/2vJgXL/lian-li-lancool-iii-atx-mid-tower-case-lancool-3-x,ATX
case,BitFenix Nova Mesh SE ATX Mid Tower Case (BFC-NSE-300-KKGSK-4A),https://cdna.pcpartpicker.com/static/forever/images/product/f550ada2c229dd7ee844ba64145d6004.256p.jpg,https://pcpartpicker.com/product/rPjNnQ/bitfenix-nova-mesh-se-atx-mid-tower-case-bfc-nse-300-kkgsk-4a,ATX
case,Corsair iCUE 4000D RGB AIRFLOW ATX Mid Tower Case (CC-9011241-WW),https://cdna.pcpartpicker.com/static/forever/images/product/49b51856669316ac4526bed0ad451c58.256p.jpg,https://pcpartpicker.com/product/8dCZxr/corsair-icue-4000d-rgb-airflow-atx-mid-tower-case-cc-9011241-ww,ATX
case,Lian Li O11 Air Mini ATX Mid Tower Case (O11AMW),https://cdna.pcpartpicker.com/static/forever/images/product/e7fcb3534153577bcb7b607c2d44a5c0.256p.jpg,https://pcpartpicker.com/product/9rt9TW/lian-li-o11-air-mini-atx-mid-tower-case-o11amw,ATX
case,Fractal Design Pop XL Air ATX Full Tower Case (FD-C-POR1X-01),https://cdna.pcpartpicker.com/static/forever/images/product/be8f8fb4a277ff7fef24355b9b66aa7d.256p.jpg,https://pcpartpicker.com/product/xdRYcf/fractal-design-pop-xl-air-atx-full-tower-case-fd-c-por1x-01,ATX
case,Cooler Master MasterBox TD500 Mesh White w/ Controller ATX Mid Tower Case (MCB-D500D-WGNN-S01),https://cdna.pcpartpicker.com/static/forever/images/product/212cf1bdd68ed28c40799e5bc3548ad4.256p.jpg,https://pcpartpicker.com/product/gfn8TW/cooler-master-masterbox-td500-mesh-white-w-controller-atx-mid-tower-case-mcb-d500d-wgnn-s01,ATX
case,Phanteks NV7 ATX Full Tower Case (PH-NV723TG_DMW01),https://cdna.pcpartpicker.com/static/forever/images/product/a7a51db6936de8b14fc20a3fda6ba954.256p.jpg,https://pcpartpicker.com/product/sWbRsY/phanteks-nv7-atx-full-tower-case-ph-nv723tg_dmw01,ATX
case,Lian Li Lancool II Mesh C RGB ATX Mid Tower Case (LANCOOL II MESH C RGB-S),https://cdna.pcpartpicker.com/static/forever/images/product/8e582cc36227645537c540233c6a91e9.256p.jpg,https://pcpartpicker.com/product/vs2WGX/lian-li-lancool-ii-mesh-c-rgb-atx-mid-tower-case-lancool-ii-mesh-c-rgb-s,ATX
case,Corsair iCUE 5000D RGB AIRFLOW ATX Mid Tower Case (CC-9011242-WW),https://cdna.pcpartpicker.com/static/forever/images/product/5081c21e39d4649a6d853b21d775e3af.256p.jpg,https://pcpartpicker.com/product/xrHqqs/corsair-icue-5000d-rgb-airflow-atx-mid-tower-case-cc-9011242-ww,ATX
case,Aerocool Cylon ATX Mid Tower Case (Cylon RGB),https://cdna.pcpartpicker.com/static/forever/images/product/eb74a9cc69be0689b3f3c855418a38a2.256p.jpg,https://pcpartpicker.com/product/VFPKHx/aerocool-cylon-atx-mid-tower-case-cylon-rgb,ATX
