partType,name,image,url,type,size
memory,ADATA AD3U1600W8G11-R 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (AD3U1600W8G11-R),https://cdna.pcpartpicker.com/static/forever/images/product/79c1b435bb99029eaa6d4f3c8a34dc1f.med.256p.jpg,https://pcpartpicker.com/product/BmV48d/a-data-memory-ad3u1600w8g11r,DDR3,8
memory,Patriot Signature 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (PSD38G16002H),https://m.media-amazon.com/images/I/31Fs9e6dy-L.jpg,https://pcpartpicker.com/product/BwBv6h/patriot-memory-psd38g16002h,DDR3,8
memory,Patriot Signature 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (PSD316G1600KH),https://cdna.pcpartpicker.com/static/forever/images/product/19a3f6e69404e21ef1e2aa3400e5e98c.256p.jpg,https://pcpartpicker.com/product/4nbp99/patriot-memory-psd316g1600kh,DDR3,16
memory,Patriot Viper 3 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory (PV316G160C0K),https://m.media-amazon.com/images/I/41Z+-yRPtSL.jpg,https://pcpartpicker.com/product/kFjG3C/patriot-memory-pv316g160c0k,DDR3,16
memory,G.Skill Value 8 GB (2 x 4 GB) DDR3-1333 CL9 Memory (F3-10600CL9D-8GBNT),https://images-na.ssl-images-amazon.com/images/I/51OBDKleIsL.jpg,https://pcpartpicker.com/product/83phP6/gskill-memory-f310600cl9d8gbnt,DDR3,8
memory,Silicon Power SP016GBLTU160ND2J7 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (SP016GBLTU160ND2J7),https://m.media-amazon.com/images/I/51yy46iCezS.jpg,https://pcpartpicker.com/product/MBrRsY/silicon-power-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-sp016gbltu160nd2j7,DDR3,16
memory,Crucial CT51264BA160BJ 4 GB (1 x 4 GB) DDR3-1600 CL11 Memory (CT51264BA160BJ),https://m.media-amazon.com/images/I/31ZVsKubaeL.jpg,https://pcpartpicker.com/product/92g323/crucial-memory-ct51264ba160bj,DDR3,4
memory,Kingston KVR1333D3N9K4/16G 16 GB (4 x 4 GB) DDR3-1333 CL9 Memory (KVR1333D3N9K4/16G),https://images-na.ssl-images-amazon.com/images/I/41rme-GJ30L.jpg,https://pcpartpicker.com/product/wqvRsY/kingston-memory-kvr1333d3n9k416g,DDR3,16
memory,Crucial CT2KIT51264BD160B 8 GB (2 x 4 GB) DDR3-1600 CL11 Memory (CT2KIT51264BD160B),https://images-fe.ssl-images-amazon.com/images/I/41QZCWM4lbL.jpg,https://pcpartpicker.com/product/J96BD3/crucial-memory-ct2kit51264bd160b,DDR3,8
memory,Corsair Vengeance 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (CML8GX3M2A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/2251be48912f5fabd564bd18d392bdee.256p.jpg,https://pcpartpicker.com/product/vtDwrH/corsair-memory-cml8gx3m2a1600c9,DDR3,8
memory,Crucial Ballistix Sport 4 GB (1 x 4 GB) DDR3-1600 CL9 Memory (BLS4G3D1609DS1S00),https://m.media-amazon.com/images/I/21+nNVpJfQL.jpg,https://pcpartpicker.com/product/FYxfrH/crucial-memory-bls4g3d1609ds1s00,DDR3,4
memory,G.Skill Value 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (F3-1600C11D-16GNT),https://m.media-amazon.com/images/I/41V8pCDVsqL.jpg,https://pcpartpicker.com/product/fvXfrH/gskill-memory-f31600c11d16gnt,DDR3,16
memory,Kingston KVR16N11K2/16 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (KVR16N11K2/16),https://cdna.pcpartpicker.com/static/forever/images/product/92f125ce9c2c8a4901abea1bdb1b5d7a.256p.jpg,https://pcpartpicker.com/product/9yh9TW/kingston-memory-kvr16n11k216,DDR3,16
memory,G.Skill Ares 8 GB (2 x 4 GB) DDR3-2400 CL11 Memory (F3-2400C11D-8GAB),https://cdna.pcpartpicker.com/static/forever/images/product/02dc532e15223854c307c6300289326b.256p.jpg,https://pcpartpicker.com/product/sWH323/gskill-memory-f32400c11d8gab,DDR3,8
memory,AMD RG2133 Gamer 16 GB (4 x 4 GB) DDR3-2133 CL10 Memory (AG316G2130U1Q),https://images-na.ssl-images-amazon.com/images/I/518p4ePq0rL.jpg,https://pcpartpicker.com/product/Lrdqqs/amd-memory-ag316g2130u1q,DDR3,16
memory,Corsair Vengeance 12 GB (3 x 4 GB) DDR3-1600 CL9 Memory (CMZ12GX3M3A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/d0447ab87149f4b19c57827a9818354d.256p.jpg,https://pcpartpicker.com/product/rrjG3C/corsair-memory-cmz12gx3m3a1600c9,DDR3,12
memory,Crucial Ballistix Sport 1 GB (1 x 1 GB) DDR3-1600 CL10 Memory (BL12864BA160A),https://m.media-amazon.com/images/I/31tf-qfQ8UL.jpg,https://pcpartpicker.com/product/64Lypg/crucial-memory-bl12864ba160a,DDR3,1
